,fips,fraction_votes,candidate
436,19063,0.02,Carly Fiorina
437,19063,0.012,Chris Christie
438,19063,0.30299999999999999,Donald Trump
439,19063,0.56000000000000005,Hillary Clinton
440,19063,0.027000000000000003,Jeb Bush
441,19063,0.01,John Kasich
442,19063,0.114,Marco Rubio
443,19063,0.0,Martin O'Malley
444,19063,0.025000000000000001,Mike Huckabee
445,19063,0.01,Rand Paul
446,19063,0.002,Rick Santorum
447,19063,0.35499999999999998,Ted Cruz
448,19065,0.14400000000000002,Ben Carson
449,19065,0.46899999999999997,Bernie Sanders
450,19065,0.018000000000000002,Carly Fiorina
451,19065,0.0060000000000000001,Chris Christie
452,19065,0.23999999999999999,Donald Trump
453,19065,0.52600000000000002,Hillary Clinton
454,19065,0.018000000000000002,Jeb Bush
455,19065,0.0060000000000000001,John Kasich
456,19065,0.17999999999999999,Marco Rubio
457,19065,0.0,Martin O'Malley
458,19065,0.017000000000000001,Mike Huckabee
459,19065,0.027000000000000003,Rand Paul
460,19065,0.0030000000000000001,Rick Santorum
461,19065,0.34100000000000003,Ted Cruz
462,19067,0.109,Ben Carson
463,19067,0.433,Bernie Sanders
464,19067,0.010999999999999999,Carly Fiorina
465,19067,0.012,Chris Christie
466,19067,0.26300000000000001,Donald Trump
467,19067,0.56700000000000006,Hillary Clinton
468,19067,0.029999999999999999,Jeb Bush
469,19067,0.012,John Kasich
470,19067,0.13800000000000001,Marco Rubio
471,19067,0.0,Martin O'Malley
472,19067,0.010999999999999999,Mike Huckabee
473,19067,0.012999999999999999,Rand Paul
474,19067,0.0,Rick Santorum
475,19067,0.40100000000000002,Ted Cruz
476,19069,0.099000000000000005,Ben Carson
477,19069,0.42199999999999999,Bernie Sanders
478,19069,0.0080000000000000002,Carly Fiorina
479,19069,0.002,Chris Christie
480,19069,0.253,Donald Trump
481,19069,0.56799999999999995,Hillary Clinton
482,19069,0.029000000000000001,Jeb Bush
483,19069,0.0060000000000000001,John Kasich
484,19069,0.16699999999999998,Marco Rubio
485,19069,0.01,Martin O'Malley
486,19069,0.037000000000000005,Mike Huckabee
487,19069,0.037000000000000005,Rand Paul
488,19069,0.0050000000000000001,Rick Santorum
489,19069,0.35799999999999998,Ted Cruz
490,19071,0.094,Ben Carson
491,19071,0.5,Bernie Sanders
492,19071,0.0,Carly Fiorina
493,19071,0.012,Chris Christie
494,19071,0.4270000000000001,Donald Trump
495,19071,0.44400000000000001,Hillary Clinton
496,19071,0.023,Jeb Bush
497,19071,0.014,John Kasich
498,19071,0.18099999999999999,Marco Rubio
499,19071,0.056000000000000001,Martin O'Malley
500,19071,0.0050000000000000001,Mike Huckabee
501,19071,0.025999999999999999,Rand Paul
502,19071,0.012,Rick Santorum
503,19071,0.20399999999999999,Ted Cruz
504,19073,0.114,Ben Carson
505,19073,0.46100000000000002,Bernie Sanders
506,19073,0.0040000000000000001,Carly Fiorina
507,19073,0.024,Chris Christie
508,19073,0.29999999999999999,Donald Trump
509,19073,0.53900000000000003,Hillary Clinton
510,19073,0.045999999999999999,Jeb Bush
511,19073,0.010999999999999999,John Kasich
512,19073,0.14099999999999999,Marco Rubio
513,19073,0.0,Martin O'Malley
514,19073,0.025999999999999999,Mike Huckabee
515,19073,0.025999999999999999,Rand Paul
516,19073,0.012999999999999999,Rick Santorum
517,19073,0.29699999999999999,Ted Cruz
518,19075,0.076999999999999999,Ben Carson
519,19075,0.51800000000000002,Bernie Sanders
520,19075,0.010999999999999999,Carly Fiorina
521,19075,0.012999999999999999,Chris Christie
522,19075,0.20899999999999999,Donald Trump
523,19075,0.46700000000000003,Hillary Clinton
524,19075,0.027000000000000003,Jeb Bush
525,19075,0.0040000000000000001,John Kasich
526,19075,0.27600000000000002,Marco Rubio
527,19075,0.014999999999999999,Martin O'Malley
528,19075,0.052999999999999999,Mike Huckabee
529,19075,0.034000000000000002,Rand Paul
530,19075,0.0080000000000000002,Rick Santorum
531,19075,0.28800000000000003,Ted Cruz
532,19077,0.14199999999999999,Ben Carson
533,19077,0.45000000000000001,Bernie Sanders
534,19077,0.024,Carly Fiorina
535,19077,0.012,Chris Christie
536,19077,0.27600000000000002,Donald Trump
537,19077,0.55000000000000004,Hillary Clinton
538,19077,0.021000000000000001,Jeb Bush
539,19077,0.0030000000000000001,John Kasich
540,19077,0.156,Marco Rubio
