,party1,candidate1,party2,candidate2,Rvalue,Pvalue,StdError,Slope,Intercept
50,Republican,Chris Christie,Republican,Marco Rubio,0.18493103277346742,0.068304490237485527,0.64296769756291849,1.1854707707098946,0.17298955169226446
51,Republican,Chris Christie,Democrat,Martin O'Malley,-0.032353223589173717,0.75180972889453079,0.26122096413913387,-0.08284925690706213,0.009271881840721783
52,Republican,Chris Christie,Republican,Mike Huckabee,-0.05776454280742277,0.57209087946184112,0.20651629355127654,-0.11707847442124572,0.025555767056132432
53,Republican,Chris Christie,Republican,Rand Paul,0.30796413724816807,0.0020360983050765544,0.19926337172079817,0.63197662882777961,0.026177522829963752
54,Republican,Chris Christie,Republican,Rick Santorum,-0.021938745317030522,0.83021821066466572,0.12737408112432386,-0.027386277663334464,0.010339390136294199
55,Republican,Chris Christie,Republican,Ted Cruz,-0.23927060229414818,0.017651751512278175,0.6424031470723095,-1.5510808844523953,0.31864696108622398
56,Republican,Donald Trump,Republican,Ben Carson,-0.16760236527966621,0.099028615208164528,0.064936520682176549,-0.10816627486625277,0.13495747441372458
57,Republican,Donald Trump,Democrat,Bernie Sanders,-0.23117750983371541,0.022004209436897598,0.13922048407906518,-0.32412382919507138,0.55980204310148496
58,Republican,Donald Trump,Republican,Carly Fiorina,-0.12243421422555403,0.22974725941351318,0.03299133991780781,-0.039876596115767902,0.030963908176361861
59,Republican,Donald Trump,Republican,Chris Christie,-0.042425684145826939,0.67829495423937969,0.016024559254269141,-0.006667173672032037,0.014560884844142261
60,Republican,Donald Trump,Republican,Donald Trump,1.0,0.0,0.0,1.0,0.0
61,Republican,Donald Trump,Democrat,Hillary Clinton,0.21196341062824359,0.036146213898986763,0.13680247523715489,0.29071840362946783,0.44053131809191282
62,Republican,Donald Trump,Republican,Jeb Bush,-0.11809860471935042,0.24679289583318365,0.021897652180178445,-0.025516897480925657,0.030545586481776237
63,Republican,Donald Trump,Republican,John Kasich,-0.14035752506741023,0.16805663468502374,0.017562166027482822,-0.024393265762983389,0.018926647584514497
